Question,Answers,T5-prediction,fine-tuned-T5-prediction,fine-tuned-prompt-generated_answer,t5-prompt-generated_answer,T5-prediction_ranking,fine-tuned-T5-prediction_ranking,t5-prompt-generated_answer_ranking,fine-tuned-prompt-generated_answer_ranking
Why was He a professor for a university in Ohio?,the university in Ohio hired Rob.,he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,He was underpaid.,3,1,4,2
Why did Rob feel he was underpaid?,Rob felt he was overqualified for his salary.,Rob felt he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,4,N/A,3,2
Why has Rob a doctorate in finance?,"Rob had passed the all the qualifications, including the final dissertation and viva voce, required by PhD.",Rob was underpaid.,Rob was a professor for a university in Ohio for several years.,he was a professor.,Rob has a doctorate in finance.,4,3,1,2
Why was He a professor for a university in Ohio?,Rob accepted the position offered by the university.,he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,He was underpaid.,N/A,1,4,2
Why did Rob feel he was underpaid?,Rob did a research of salary by himself.,Rob felt he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,4,N/A,3,2
Why has Rob a doctorate in finance?,he went to college to get that degree.,Rob was underpaid.,Rob was a professor for a university in Ohio for several years.,he was a professor.,Rob has a doctorate in finance.,4,3,1,2
Why was He a professor for a university in Ohio?,he taught at the school he graduated from.,he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,He was underpaid.,3,2,4,1
Why did Rob feel he was underpaid?,he had seen what other faculty members get paid.,Rob felt he was underpaid.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,Rob was a professor for a university in Ohio for several years.,4,N/A,3,2
Why did Tom lose his job?,his employer no more needed him at work.,Tom had no money.,he had no money.,he had no money.,He had no money.,4,2,N/A,1
Why did He feel terrible?,he had no money as he had lost his job.,he had no money.,he lost his job.,he had no money.,He had no money.,N/A,2,4,1
Why did He look for a job?,he wanted to find a job to have money.,he had no money.,he had no money.,Tom was unable to find a job.,He had no money.,4,3,2,1
Why did Tom lose his job?,his company was downsizing.,Tom had no money.,he had no money.,he had no money.,He had no money.,N/A,2,4,1
Why did He feel terrible?,he didn't have any money.,he had no money.,he lost his job.,he had no money.,He had no money.,4,3,1,2
Why did He look for a job?,he'd lost his last one.,he had no money.,he had no money.,Tom was unable to find a job.,He had no money.,4,2,3,1
Why did Tom lose his job?,Tom's company was downsizing its employees.,Tom had no money.,he had no money.,he had no money.,He had no money.,N/A,2,4,1
Why did He feel terrible?,Tom didn't have any money.,he had no money.,he lost his job.,he had no money.,He had no money.,4,3,1,2
Why did He look for a job?,Tom was unemployed and didn't have any funds.,he had no money.,he had no money.,Tom was unable to find a job.,He had no money.,N/A,4,1,3
Why did Rob request a raise from the university?,he was feeling underpaid.,Rob wanted to get a raise.,Rob was underpaid.,Rob was underpaid.,Rob felt he was underpaid.,4,2,3,1
Why did Rob request a raise from the university?,He thought he was underpaid.,Rob wanted to get a raise.,Rob was underpaid.,Rob was underpaid.,Rob felt he was underpaid.,4,3,1,2
Why did Rob request a raise from the university?,he believed he was underpaid inspite of his qualifications.,Rob wanted to get a raise.,Rob was underpaid.,Rob was underpaid.,Rob felt he was underpaid.,4,2,3,1
Why did He decide to file for unemployment?,the economy was hit by a worse recession.,he had no money.,he wanted to get a job.,Tom was looking for a job online.,He looked for a job online everyday.,3,2,4,1
Why was Tom happy?,Tom received the financial aid.,Tom was happy to get a job.,he was able to get a job.,he was able to get a fat unemployment check.,He got a fat unemployment check.,4,3,2,1
Why did He decide to file for unemployment?,he had no job or money.,he had no money.,he wanted to get a job.,Tom was looking for a job online.,He looked for a job online everyday.,3,2,4,1
Why was Tom happy?,he got a big unemployment check.,Tom was happy to get a job.,he was able to get a job.,he was able to get a fat unemployment check.,He got a fat unemployment check.,4,3,2,1
Why did He decide to file for unemployment?,he lost his job.,he had no money.,he wanted to get a job.,Tom was looking for a job online.,He looked for a job online everyday.,3,2,4,1
Why was Tom happy?,he got a large amount from his unemployment check.,Tom was happy to get a job.,he was able to get a job.,he was able to get a fat unemployment check.,He got a fat unemployment check.,4,3,2,1
Why did Charles wake up?,Charles had gone to bed the night before.,Charles was sick.,he was sick.,he was sick.,He told his mom and his mom that he's not going to school today because you are sick.,3,2,4,1
Why did He tell his mom?,Charles felt sick and needed her help.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,3,2,4,1
Why did She come back?,Charles' Mom got a thermometer to take his temperature.,he was sick.,Charles' mom and his mom were going to go to school.,Charles was going to school.,He told his mom that he's not going to school today because you are sick.,4,2,3,1
Why did Charles wake up?,it was time to get ready for school.,Charles was sick.,he was sick.,he was sick.,He told his mom and his mom that he's not going to school today because you are sick.,N/A,2,4,1
Why did He tell his mom?,his mother decides if he stays home.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,3,2,4,1
Why did She come back?,she needed to get the thermometer.,he was sick.,Charles' mom and his mom were going to go to school.,Charles was going to school.,He told his mom that he's not going to school today because you are sick.,4,2,3,1
Why did Charles wake up?,it was morning.,Charles was sick.,he was sick.,he was sick.,He told his mom and his mom that he's not going to school today because you are sick.,3,2,4,1
Why did He tell his mom?,mom's take care of kids.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,3,2,4,1
Why did She come back?,Charles' mom wanted to take his temperature.,he was sick.,Charles' mom and his mom were going to go to school.,Charles was going to school.,He told his mom that he's not going to school today because you are sick.,3,2,4,1
Why did She tell him?,Charles' Mom wanted him to stay home from school.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,4,2,3,1
Why did She tell him?,Charles was sick and his mom wanted him to stay home.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,3,2,4,1
Why did She tell him?,charles wanted to know why he didn't feel well.,he was sick.,he was sick.,Charles was sick.,He told his mom that he's not going to school today because he's sick.,3,2,4,1
Why was Bob in his school 's cafeteria line?,Bob was getting his school lunch.,Bob was in his school 's cafeteria line.,he was in his school 's cafeteria line.,he was in his school's cafeteria line.,He saw that a couple people had skipped the line.,N/A,2,4,1
Why did He see that a couple people had skipped the line?,Bob saw them ahead of him.,Bob was in his school's cafeteria line.,Bob was in his school's cafeteria line.,he was in his school's cafeteria line.,Because he was in his school's cafeteria line.,4,2,N/A,1
Why did Bob grow very angry?,Bob had been cut in line by other people.,Bob was a friend of the people.,he was in the cafeteria line.,he was in his school's cafeteria line.,He saw that a couple people had skipped the line.,4,2,3,1
Why was Bob in his school 's cafeteria line?,He probably wanted some food.,Bob was in his school 's cafeteria line.,he was in his school 's cafeteria line.,he was in his school's cafeteria line.,He saw that a couple people had skipped the line.,4,3,1,2
Why did He see that a couple people had skipped the line?,he has functional eyes.,Bob was in his school's cafeteria line.,Bob was in his school's cafeteria line.,he was in his school's cafeteria line.,Because he was in his school's cafeteria line.,4,2,3,1
